name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
Attention Soldiers!,1862,Attention Soldiers!,Andrew J. Sweetser,,Broadsides Collection,Clothing and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r41v5d62h,[Glebe Cottage could possibly be in the northern Virginia area.],
Grand Military Concert!,1862,Grand Military Concert!,Band of the Second Regl. Mass. Vols.,,Broadsides Collection,"Military, Entertainment",,,advertisements,https://idn.duke.edu/ark:/87924/r4tx36w1k,"Band assisted by Capt. Collis Zouaves D Afrique, all under the direction of Prof. Chas. Spiegel.",
Dear Sir,1863,Dear Sir,Mary T. Bentley,,Broadsides Collection,Banking and Financial,,,advertisements,https://idn.duke.edu/ark:/87924/r42j69t3d,"""personal letter about counterfeit currency printing of Confederate notes to ""weaken the Rebellion.""",
$40.000!  Shelby College Lottery of the State of Kentucky,1864,$40.000!  Shelby College Lottery of the State of Kentucky,"Danforth, Phillips & Co.",,Broadsides Collection,"Price List, Gambling",,,advertisements,https://idn.duke.edu/ark:/87924/r40r9nt8j,ad required two scans to accommodate its length.,
EXCELSIOR CIGARETTE ROLLER,1864,EXCELSIOR CIGARETTE ROLLER,"H. C. Witt, Agent",,Broadsides Collection,Tobacco,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4gh9d13v,,
Fords Theatre,1864,Fords Theatre,Fords Theatre,,Broadsides Collection,Entertainment,,,advertisements,https://idn.duke.edu/ark:/87924/r4ww78r79,Booth as Richard III - scanned as two images,
James W. Fortunes Publications,1865,James W. Fortunes Publications,A. Williams & Co.,,Broadsides Collection,"Price List, Books",,,advertisements,https://idn.duke.edu/ark:/87924/r4pg1kd3b,examples described in the ad are books about music and books about war.,
New England Tobacco Works,1865,New England Tobacco Works,"Adams, Batchelder & Co.",,Broadsides Collection,"Price List, Tobacco",,,advertisements,https://idn.duke.edu/ark:/87924/r4445k20h,,
New Laws: Indian War Soldiers,1865,New Laws: Indian War Soldiers,H. J. Hayden & Co.,"H. J. Hayden & Co., War Claims Attorneys",Advertising Ephemera Collection,Attorneys,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r41g0kj69,,
Notice Notice !!,1865,Notice Notice !!,Thos. W. Holloway,,Broadsides Collection,Dry Goods,,,advertisements,https://idn.duke.edu/ark:/87924/r42f7mj3w,postwar,
